location,bedroom,bathroom,area_m2,price_usd,Neighborhood
Kilimani,1.0,1.0,1.0,45000.0,"Denis Pritt,Kilimani,Dagoretti North"
Runda,2.0,2.0,2.0,45000.0,"Kiambu Road,Kiambu Road"
Westlands,3.0,2.0,3.0,45000.0,"Thiong'o Road,Mountain View,Westlands"
Westlands,3.0,2.0,3.0,45000.0,"Thiong'o,Mountain View,Westlands"
Runda,2.0,2.0,2.0,46500.0,"Kiambu Road,Kiambu Road"
Runda,3.0,2.0,3.0,47000.0,"Ruaka,Kiambaa"
Runda,2.0,3.0,2.0,48000.0,"Ngong Road,Ngong Road"
Kilimani,1.0,1.0,1.0,48000.0,"Kilimani,Dagoretti North"
Runda,2.0,1.0,48.0,48000.0,"Ole Sangale,Madaraka,Langata"
Runda,2.0,2.0,4500.0,48000.0,":,Hardy,Karen,Karen,Langata"
Runda,3.0,2.0,3.0,48000.0,"Likoni Road,South B,Langata"
Runda,3.0,2.0,10118.0,50000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,3.0,3.0,130.0,50000.0,"Cinemax,Cinemax,Nyali Area,Nyali"
Westlands,2.0,2.0,2.0,50000.0,"Waiyaki Way,Westlands"
Westlands,3.0,2.0,3.0,50000.0,"New Kitisuru,Kitisuru,Westlands"
Runda,3.0,3.0,3.0,50000.0,"Kiambu Rd,Thindigua,Kiambu Road,Kiambu Road"
Runda,3.0,1.0,150.0,50000.0,"6,Bukani Road,Nairobi West,Langata"
Runda,3.0,2.0,130.0,50000.0,"Kamiti Road,Kamiti,Kiambaa"
Runda,2.0,2.0,4500.0,50000.0,"Rhino park road,Karen,Langata"
Runda,3.0,2.0,3.0,50000.0,"Racecourse,Ngando Area,Ngong Road,Ngong Road"
Runda,3.0,2.0,3.0,50000.0,"Ngong Road,Ngong Road"
Runda,2.0,2.0,2.0,50000.0,"Kiambu Rd,Kiambu Road,Kiambu Road"
Runda,2.0,2.0,80.0,50000.0,"Fourways Junction Estate,Kiambu Road,Kiambu Road"
Runda,1.0,1.0,1.0,50000.0,"Migaa,Kiambu Road,Kiambu Road"
Runda,3.0,2.0,3.0,50000.0,"Nairobi West,Langata"
Westlands,1.0,1.0,1.0,50000.0,"Rhapta Road,Westlands"
Runda,3.0,3.0,300.0,50000.0,"kiambu road,kiambu road,Kiambu Road,Kiambu Road"
Runda,3.0,2.0,3.0,50000.0,"Imara Daima,Embakasi"
Westlands,2.0,1.0,2.0,50000.0,"1 Ojijo,Parklands,Westlands"
Runda,1.0,1.0,1.0,50000.0,"Upper Hill,Langata"
Runda,3.0,3.0,3.0,50000.0,"Zambia Road,Ngong,Kajiado North"
Runda,3.0,3.0,3.0,50000.0,"Kiambu Road,Kiambu Road"
Westlands,0.0,1.0,0.0,50000.0,"Waiyaki Way,Westlands"
Runda,3.0,3.0,3.0,51000.0,"Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,52000.0,"riara road,Riara Road,Dagoretti North"
Runda,2.0,3.0,300.0,52000.0,"kiambu road,kiambu road,Kiambu Road,Kiambu Road"
Runda,2.0,2.0,2.0,52000.0,"Kiambu Road,Kiambu Road"
Kilimani,2.0,1.0,2.0,52500.0,"Milimani,Kilimani,Dagoretti North"
Runda,3.0,3.0,20235.0,54000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,3.0,2.0,3.0,54000.0,"Ruaka,Kiambaa"
Runda,2.0,2.0,94.0,55000.0,"Four Points Apartments,Uthiru/Ruthimitu,Dagoretti South"
Kilimani,2.0,2.0,2.0,55000.0,"Kilimani,Dagoretti North"
Kileleshwa,1.0,1.0,1.0,55000.0,"Gatundu road,Kileleshwa,Dagoretti North"
Westlands,3.0,1.0,3.0,55000.0,"Rhaphta Road,Waiyaki Way,Westlands"
Kileleshwa,2.0,2.0,2.0,55000.0,"Kileleshwa,Dagoretti North"
Westlands,1.0,2.0,1.0,55000.0,"Rhapta Road,Westlands"
Runda,3.0,2.0,3.0,55000.0,"Kiambu Road,Kiambu Road"
Runda,3.0,3.0,3.0,55000.0,"Kiambu Rd,Thindigua,Thindigua"
Runda,2.0,2.0,2.0,55000.0,"Kahawa West,Roysambu"
Runda,3.0,2.0,3.0,55000.0,"Wanyee Road,Naivasha Road,Dagoretti North"
Runda,2.0,2.0,2000.0,55000.0,"Nyali primary,Nyali,Nyali Area,Nyali"
Runda,2.0,2.0,2.0,55000.0,"Fourways Junction Estate,Kiambu Road,Kiambu Road"
Runda,2.0,1.0,2.0,55000.0,"Ngong Road,Ngong Road,Ngong Road"
Lavington,2.0,2.0,2.0,55000.0,"Lavington,Dagoretti North"
Kilimani,1.0,1.0,1.0,55000.0,"Denis Pritt,Kilimani,Dagoretti North"
Runda,3.0,2.0,3.0,55000.0,"Off Naivasha road,Dagoretti Corner,Dagoretti South"
Runda,3.0,3.0,260.0,55000.0,"kiambu road,kiambu road,Kiambu Road,Kiambu Road"
Westlands,2.0,2.0,107.0,55000.0,"Loresho,Westlands"
Kilimani,1.0,1.0,1.0,55000.0,"Kilimani,Dagoretti North"
Runda,3.0,2.0,8094.0,55000.0,"Limuru Road,Ruaka,Kiambaa"
Westlands,2.0,3.0,40470.0,55000.0,"Loresho,Westlands"
Kilimani,1.0,2.0,1.0,55000.0,"Kilimani,Dagoretti North"
Kilimani,2.0,2.0,2.0,55000.0,"kilimani,kilimani,Kilimani,Dagoretti North"
Lavington,3.0,2.0,3.0,55000.0,"Lavington,Dagoretti North"
Kileleshwa,3.0,3.0,3.0,55000.0,"Kileleshwa,Dagoretti North"
Westlands,1.0,1.0,1.0,55000.0,"Riverside Mews,Riverside,Westlands"
Westlands,2.0,2.0,2.0,55000.0,"Loresho,Westlands"
Runda,3.0,2.0,3.0,55000.0,"Kahawa West,Roysambu"
Runda,3.0,2.0,3.0,55000.0,"Mombasa CBD,Mombasa CBD"
Runda,1.0,2.0,1.0,55000.0,"Nyali Area,Nyali"
Runda,3.0,4.0,3.0,55000.0,"Kiambu Road,Kiambu Road"
Westlands,2.0,2.0,2.0,55000.0,"Mountain View,Westlands"
Westlands,2.0,2.0,110.0,55000.0,"Kitisuru,Westlands"
Runda,3.0,4.0,3.0,55000.0,"Nyali links road,Nyali links road,Nyali Area,Nyali"
Kilimani,2.0,2.0,2.0,55000.0,"Kilimani,Dagoretti North"
Westlands,2.0,2.0,2.0,55000.0,"Mwimuto,New Kitusuru,Westlands"
Runda,2.0,2.0,95.0,55000.0,"Karenend Apartments,Karinde,Karen,Langata"
Westlands,2.0,2.0,2.0,55000.0,"waiyaki,waiyaki,Loresho,Westlands"
Runda,3.0,3.0,3.0,55000.0,"Thindigua,Thindigua"
Lavington,2.0,2.0,2.0,55000.0,"Lavington,Dagoretti North"
Runda,2.0,2.0,80.0,55000.0,"Fourways Junction Estate,Kiambu Road,Kiambu Road"
Kilimani,1.0,1.0,1.0,55000.0,"Kilimani,Dagoretti North"
Kileleshwa,3.0,4.0,3.0,55000.0,"Kileleshwa,Dagoretti North"
Kileleshwa,3.0,3.0,3.0,55000.0,"Kileleshwa,Dagoretti North"
Runda,2.0,2.0,2.0,55000.0,"nyali,nyali road,Mkomani,Nyali"
